host_id,host_about,user_id
2907254,"Hello!  This is Joe, Alex, Drew, Tom and Charlie.  If you stay here we will be your hosts while here in Chicago.   

Please read through our entire ad and offering before asking questions or requesting a stay.  If after that you still have questions feel free to ask.  If you just want to book after reading, I'm positive we will deliver a great stay.",2907254
33004,"Hi, we're Bob and Liz Biddle, long time Chicagoans and your hosts. We started At Home Inn Chicago in 2000 as a reservation service for bed and breakfasts in Chicago, and have since evolved into one of the city's most-respected sources for vacation rentals, corporate housing, and weekend getaways. 

We provide fully furnished vacation rentals and corporate housing throughout the city in or near Old Town and Lincoln Park.

We are here to answer all of your questions about Chicago, whether you need a restaurant recommendation, public transit tips, or insider tips on how to experience the Chicago that locals know and love. 

We love this city, especially getting ribs at Twin Anchors in Old Town before a show at Second City.  Topo Gigio is a great local Italian Restaurant and The Gemini Bistro is an excellent choice for fine dining. And Velvet Taco, casual with its own unique style on Lincoln is fabulous!

The free concerts at Pritzker Pavilion in Millenium Park can't be matched by any city in the world. 

We'd love to help you experience all of this with us and so much more!",33004
6088938,"Hello!

I'm Eric, 

Father of three great children. (grown and living on their own). Most recently three amazing grandchildren, so blessed! I enjoy traveling and anything that gets me outside. I believe there is nothing better than the experience of meeting new people, places, and sharing a meal, locally sourced of course!  I enjoy supporting local businesses, farmers markets, running, and living an environmentally conscious lifestyle. 

The world is always welcome at the door and invited in with a smile!  
I would love to have you stay!  
Happy Travels!
Eric",6088938
2613,"My 2 bdrm apartment is a 2nd floor walk-up in a quiet, vintage co-op building, overlooking a pleasant courtyard.  I allow only one guest so you don't have to worry about other strangers in the apartment. (I occupy the 2nd bedroom).  A single traveler will probably feel safe and be comfortable here. If you are visiting the University of Chicago - or visiting your UChicago student who hasn't enough room to host you - my location should allow you to walk to your destination. My Airbnb listing is also convenient to the Chicago Theological Seminary. 

Please let me know the purpose of your trip to Chicago so I can help you determine if my apartment (or Hyde Park location) is right for your visit.  I may even be able to suggest a more appropriate location. In any event, I will answer your inquiries quickly and honestly.",2613
3710712,I am a multi-faceted Child of the All.,3710712
8186262,"I'm co-founder of a mission-driven company that helps bring more nature into cities and use it to reduce pollution from stormwater runoff.  Am constantly using AirBnB for all of my work-related travel as I meet with partners and community members in cities across the country. I am also an Airbnb host myself, so I have a deep understanding of both what it takes to host and what it takes to be a great guest.",8186262
2810938,"Who would have thought when I boarded a plane for Greece more than 20 years ago, planning on backpacking through the mountains and then heading north through then Yugoslavia I'd end up making Greece my second home?
But here I am, 20 something years later, with our fabulous biz ""Greek Vacation Rentals"",  opening up our amazing Acropolis view family & group friendly Athens apartments & our MagicFactoryLofts, spacious art filled homes in Chicago, while planning RealGreece travel itineraries and leading small group food & wine focused tours around my adopted homeland and loving the life that I am lucky enough to be living. Of course I did pick up an equally crazy, workaholic Greek husband along the way, as well as a stray Greek animal or two!

Update: January 2023 .... This year Basil and I celebrate 20 years opening our Greek vacation rentals to guests from around the world. All these years we've been hopping between Basil's home city, Athens and Carole's home city of Chicago.  Time and time again guests in Greece asked us if they can stay in our Chicago home while we're in Athens.... so now you can stay in Chicago in our art filled Magic Factory Lofts. We've got 3 and 4 bedroom homes in the heart of the city with Big Shoulders -  in our hybrid warehouse (which in a previous life housed a bar and a dance hall, followed by a costume and magic card factory and then a photography studio where probably every Butterball turkey advertisement in the 1980s was shot .... the photos, not the turkeys!)

So come stay with us ... and then stay with us again. Whether you'd like to enjoy an ouzo in Athens overlooking the Acropolis the Acropolis View Alpha or 7 bedroom  Acropolis SkyVilla, or a beer and a hot dog in Chicago while staying at  our Magic Factory Lofts  we know that you won't be disappointed. 

All of our places are perfect for 3 generation families, multiple couples (especially in Athens pre or post cruise), or groups of friends on a city break or vacation.",2810938
17928,We live in Chicago. We love to travel and see the world with our two children! ,17928
33004,"Hi, we're Bob and Liz Biddle, long time Chicagoans and your hosts. We started At Home Inn Chicago in 2000 as a reservation service for bed and breakfasts in Chicago, and have since evolved into one of the city's most-respected sources for vacation rentals, corporate housing, and weekend getaways. 

We provide fully furnished vacation rentals and corporate housing throughout the city in or near Old Town and Lincoln Park.

We are here to answer all of your questions about Chicago, whether you need a restaurant recommendation, public transit tips, or insider tips on how to experience the Chicago that locals know and love. 

We love this city, especially getting ribs at Twin Anchors in Old Town before a show at Second City.  Topo Gigio is a great local Italian Restaurant and The Gemini Bistro is an excellent choice for fine dining. And Velvet Taco, casual with its own unique style on Lincoln is fabulous!

The free concerts at Pritzker Pavilion in Millenium Park can't be matched by any city in the world. 

We'd love to help you experience all of this with us and so much more!",33004
8489460,"We have lived in on the Northside of Chicago for over 20 years and wouldn't live any where else. We love the neighborhood and its diversity. We enjoy hosting guests and assisting with the quality of their stay.  We are also so glad about our proximity to awesome beaches, Loyola and Northwestern Universities. We are lucky to live here as we do which is why we want to share the experience. Welcome.",8489460
8595700,"I am from the Netherlands,lived in Germany and Switzerland before I came here.I have three daughters and five grandchildren,my husband was from Greece. I still have family in Athens and we had one of the girls baptized there and an other one got married there.When my middle daughter studied in Florence ,Italy we  went many times to see her.I enjoy art and good food.I like to read love a good book,enjoy the movies and have a subscription to the Lyric Opera and try to go to as many concerts as I can .
We are not far from Wrigley Field and if i can't go to a baseball game there I will see it on the t.v. I like sports,golf ,tennis ,soccer.The little kids here play soccer and I go to their games.
I love Chicago and I have lived here now for over 50 years which was not my intention but this place is very international and very welcoming and I stayed.",8595700
46734,"Best in the city with long-time urban-dwelling hosts available to give you the skinny on most things Chicago, while allowing you complete privacy in your own large, separate suite area, accessed via a private stairway.

Luxurious and pristine accommodations with a modern décor in the heart of Chicago’s Lincoln Park – perfect for business or leisure travelers. Located in the spot center of lively city life;  is minutes from the Loop, Magnificent Mile and Millennium Park.",46734
8619275,"Hello,
I am Leszek, I have been living in Chicago for many years now. I am originally form Poland.
",8619275
101521,"Travel is fun and exciting but can be hard on the wallet.  It doesn't have to be that way.  Email if you have questions, especially if your requested dates are in the near term and I will do my best to work with you!

Having spent more time than I care to remember in sterile, uninviting hotel rooms, I was initially attracted to vacation rentals as refreshing, and often more affordable, alternatives.  What I found were the same white walls and beige furniture or, even worse, cluttered rooms and Aunt Edna's donated dilapidated couch in the living room.  Well, welcome to something different.  Take a break from your busy schedule by relaxing in clean, inviting rental that that feels enough like home that you're immediately comfortable while being so special you'll look forward to your return.  Many of my guests have been back 2 or 3 times, and some have found themselves venturing across the country to check out another Red Hot Vacation Rental.  

My places are located in Chicago, Miami Beach and San Francisco. I've lived in all 3 cities and am happy to suggest hidden local gems or recommend the best nearby dry cleaner.",101521
101521,"Travel is fun and exciting but can be hard on the wallet.  It doesn't have to be that way.  Email if you have questions, especially if your requested dates are in the near term and I will do my best to work with you!

Having spent more time than I care to remember in sterile, uninviting hotel rooms, I was initially attracted to vacation rentals as refreshing, and often more affordable, alternatives.  What I found were the same white walls and beige furniture or, even worse, cluttered rooms and Aunt Edna's donated dilapidated couch in the living room.  Well, welcome to something different.  Take a break from your busy schedule by relaxing in clean, inviting rental that that feels enough like home that you're immediately comfortable while being so special you'll look forward to your return.  Many of my guests have been back 2 or 3 times, and some have found themselves venturing across the country to check out another Red Hot Vacation Rental.  

My places are located in Chicago, Miami Beach and San Francisco. I've lived in all 3 cities and am happy to suggest hidden local gems or recommend the best nearby dry cleaner.",101521
27506,"i've owned the building since 1993 and been hosting airbnb's in chicago and my home in italy since its startup. i live in italy but there is an onsite building manager in chicago for emergencies and i am easy to reach via email, texting and calling. also, my niece lives in the neighborhood and is a superhost.",27506
1426804,"I am an outgoing person who loves to travel and have fun.  When I am home, I am quiet and cool, usually reading, grading papers or watching TV.  I am easy to get along with because I love people, especially children.  I love to dance, workout, and entertain guest in my backyard (in the summer). I love sharing my home with visitors because I enjoy meeting new people!  The other person in the picture is Alden my house manager!  If I’m not around, he’ll be there to take excellent care of you.",1426804
162364,"We love to travel on a budget, no big hotels for us. We do our best to experience our trips like locals. We love the outdoors, hiking, camping, and having visitors. You will find us most times digging in the yard or enjoying a cold beer(s) with friends. 

Mat is self employed and works from home.  Randy has been a Kindergarten teacher in public schools for 26 years.

Airbnb brings travel to us and we LOVE IT!",162364
334241,"Hi! We are both local business owners in the neighborhood. Mike is a Massage Therapist and Veronica finds funding for small businesses.
We've been an Airbnb guest and host for a few years now and made some great friendships, as well as met some pretty wonderful people! 

Mike loves to create music and explore art/new music/explore/eat pizza, bacon, cheese, and anything with potatoes. I also love spending time with my dog Piper! She is a sweet 3 year old (Shepard mix) who loves to do tricks for treats and really likes people who like dogs :)
Veronica makes art, draws and works at her restaurant just down the street from the house..you should come by!!!

If you are bilingual in English/Spanish, ""Yo hablar un poco de español"" with you, since my girlfriend has inspired me to take lessons for our trips to Mexico City.  Hasta luego!",334241
334241,"Hi! We are both local business owners in the neighborhood. Mike is a Massage Therapist and Veronica finds funding for small businesses.
We've been an Airbnb guest and host for a few years now and made some great friendships, as well as met some pretty wonderful people! 

Mike loves to create music and explore art/new music/explore/eat pizza, bacon, cheese, and anything with potatoes. I also love spending time with my dog Piper! She is a sweet 3 year old (Shepard mix) who loves to do tricks for treats and really likes people who like dogs :)
Veronica makes art, draws and works at her restaurant just down the street from the house..you should come by!!!

If you are bilingual in English/Spanish, ""Yo hablar un poco de español"" with you, since my girlfriend has inspired me to take lessons for our trips to Mexico City.  Hasta luego!",334241
8813383,"Mindy // Update: My college closed permanently, so I have purchased a home in Detroit and live there full time.  I am now closer to my parents. Tony still lives and works in Chicago. 

Past: College Professor. Currently teach Animation + Motion Graphics {after effects}, Computer Graphics, Creative Collaboration & Materials and Resources. My husband and I love art, fashion, music and food.

Tony // Carpenter + Artist for many years. I have rebuilt, remodeled and put lot's of love into the iKlektik House. Camping and biking is my thing.",8813383
504470,"When I travel, I like unique experiences, learning from the locals, staying in interesting neighborhoods and exploring the area. I also like to be comfortable and appreciate an updated style. If you are anything like me - you'll love my place!",504470
531832,"My wife, Nubia, and I are from Chicago.  We love to travel, discuss politics and go out to eat.  I am an accountant and my wife is an attorney.  I speak some German and enjoy camping and mountain biking.  Nubia enjoys cooking and likes to read.  She is fluent in Spanish and can also speak some French.",531832
9249272,"My wife, Diane and I are long-time Chicago residents.  We love the city and what it has to offer. 
We have owned and lived in our two flat in the Lakeview/Lincoln Park neighborhood for 38 years. We have rented the 1st floor apartment as a vacation rental for the last 18 years and we have enjoyed hosting guests from all over the world. We would be happy to host your Chicago stay! Feel free to contact us with any questions you may have. 
Mark",9249272
683529,,683529
683529,,683529
899757,"I have a small family (partner, Dave and daughter, Frances, 20) and a passion for nature and travel. I prefer a small cafe to a trendy restaurant, and like to spend my free time hiking, biking and gardening (ok, Dave is the gardener). I spent big chunks of my '20s and '30s in Europe, Asia, Africa and the Middle East, but now that I have a real job my jaunts are shorter, mostly to Europe or South America.",899757
1559157,I am an artist with a love for language and new cultural experiences. I am kind and warm with a preference for books over devices and people over profiles.,1559157
9297431,"The Inn at Wrigleyville provides you with the opportunity to sleep closer to home plate than many of the seats inside of Wrigley Field. We are licensed by the City of Chicago and have a one-bedroom, a three-bedroom, and two four-bedroom fully furnished apartments to suit any groups' needs, large or small. With new construction and brand new furnishings, we are sure to make your time in Chicago a comfortable and memorable experience. You never know, you might even catch a fly ball from our front steps!",9297431
