listing_id,room_type,description,price,from_date,to_date,landlord_id,longitude,latitude
1461451,Shared room,Rental unit in Chicago · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,28,2023-12-18,2024-12-16,2907254,-87.68788,42.01653
1502674,Entire home/apt,Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,146,2023-12-18,2024-12-16,33004,-87.63834,41.91175
1554433,Private room,Bungalow in Chicago · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,49,2023-12-18,2024-12-16,6088938,-87.67197,41.71554
2384,Private room,Condo in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,70,2023-12-18,2024-12-16,2613,-87.5878,41.7879
1562331,Private room,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,0,2023-12-18,2024-12-16,3710712,-87.77808,41.95993
1573401,Private room,Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,48,2023-12-18,2024-12-16,8186262,-87.66249,41.85592
1584422,Entire home/apt,Rental unit in Chicago · ★4.93 · 3 bedrooms · 8 beds · 2 baths,514,2023-12-18,2024-12-16,2810938,-87.64761,41.90532
7126,Entire home/apt,Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,90,2023-12-18,2024-12-16,17928,-87.68021,41.90166
10945,Entire home/apt,Rental unit in Chicago · ★4.63 · 2 bedrooms · 2 beds · 1 bath,106,2023-12-18,2024-12-16,33004,-87.63981,41.91196
1591370,Entire home/apt,Rental unit in Chicago · ★4.83 · 1 bedroom · 4 beds · 1 bath,129,2023-12-18,2024-12-16,8489460,-87.67758,42.01177
1614802,Private room,Rental unit in Chicago · ★4.91 · 1 bedroom · 2 beds · 1 private bath,68,2023-12-18,2024-12-16,8595700,-87.66141,41.93455
12140,Private room,Boutique hotel in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 private bath,329,2023-12-18,2024-12-16,46734,-87.64947,41.92357
1620098,Private room,Rental unit in Chicago · ★4.66 · 1 bedroom · 1 bed · 1 private bath,150,2023-12-18,2024-12-16,8619275,-87.64282,41.92817
24833,Entire home/apt,Rental unit in Chicago · ★4.29 · 1 bedroom · 1 bed · 1 bath,59,2023-12-18,2024-12-16,101521,-87.656364,41.925961
25879,Entire home/apt,Rental unit in Chicago · ★4.32 · 2 bedrooms · 3 beds · 1 bath,74,2023-12-18,2024-12-16,101521,-87.65573,41.92499
28749,Entire home/apt,Loft in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,139,2023-12-18,2024-12-16,27506,-87.67932,41.92137
1648786,Private room,Home in Chicago · ★4.78 · 2 bedrooms · 2 beds · 1 shared bath,55,2023-12-18,2024-12-16,1426804,-87.61164,41.72706
37738,Private room,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1.5 shared baths,0,2023-12-18,2024-12-16,162364,-87.66567,41.97303
71930,Private room,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,96,2023-12-18,2024-12-16,334241,-87.67934,41.89615
84042,Private room,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,0,2023-12-18,2024-12-16,334241,-87.67934,41.89615
1663673,Entire home/apt,Rental unit in Chicago · ★4.90 · 1 bedroom · 2 beds · 1 bath,96,2023-12-18,2024-12-16,8813383,-87.68572,41.89322
94450,Entire home/apt,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,111,2023-12-18,2024-12-16,504470,-87.66512,41.9796
1668481,Entire home/apt,Rental unit in Chicago · ★4.82 · 2 bedrooms · 2 beds · 1 bath,0,2023-12-18,2024-12-16,531832,-87.6971,41.89678
1759266,Entire home/apt,Rental unit in Chicago · ★4.81 · 2 bedrooms · 2 beds · 1 bath,173,2023-12-18,2024-12-16,9249272,-87.65897,41.93396
145659,Entire home/apt,Rental unit in Chicago · ★4.78 · 3 bedrooms · 3 beds · 2 baths,198,2023-12-18,2024-12-16,683529,-87.68121,41.94342
145690,Entire home/apt,Rental unit in Chicago · ★4.78 · 4 bedrooms · 4 beds · 2 baths,298,2023-12-18,2024-12-16,683529,-87.63864,41.91289
189821,Entire home/apt,Rental unit in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,200,2023-12-18,2024-12-16,899757,-87.70219,41.92918
1759389,Private room,Home in Chicago · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,82,2023-12-18,2024-12-16,1559157,-87.68127,41.84801
1769731,Entire home/apt,Rental unit in Chicago · ★4.77 · 1 bedroom · 2 beds · 1 bath,279,2023-12-18,2024-12-16,9297431,-87.65417,41.94747
207218,Entire home/apt,Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,100,2023-12-18,2024-12-16,1019125,-87.60712,41.68843
1772920,Entire home/apt,Rental unit in Chicago · ★4.71 · 3 bedrooms · 5 beds · 2 baths,565,2023-12-18,2024-12-16,9297431,-87.65307,41.94842
1773021,Entire home/apt,Rental unit in Chicago · ★4.94 · 4 bedrooms · 5 beds · 2 baths,765,2023-12-18,2024-12-16,9297431,-87.65421,41.94774
1773025,Entire home/apt,Rental unit in Chicago · ★4.76 · 4 bedrooms · 5 beds · 2 baths,765,2023-12-18,2024-12-16,9297431,-87.6542,41.9475
1810118,Private room,Home in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 private bath,79,2023-12-18,2024-12-16,9483312,-87.60041,41.77738
207351,Entire home/apt,Place to stay in Chicago · ★4.91 · 1 bedroom · 1 bed · 1 bath,50,2023-12-18,2024-12-16,1019125,-87.60786,41.68954
