scores_rating,scores_accuracy,scores_cleanliness,scores_checkin,scores_communication,scores_location,scores_value,listing_id
4.6,4.68,4.46,4.78,4.8,4.52,4.65,1461451
4.79,4.88,4.79,4.88,4.81,4.97,4.77,1502674
4.85,4.89,4.96,4.94,4.94,4.79,4.87,1554433
4.99,4.98,4.99,4.99,4.99,4.96,4.94,2384
4.89,4.91,4.65,4.98,4.99,4.89,4.88,1573401
4.93,4.93,5.0,4.93,4.98,4.8,4.84,1584422
4.7,4.84,4.56,4.9,4.87,4.89,4.75,7126
4.63,4.78,4.78,4.83,4.83,4.97,4.64,10945
4.83,4.87,4.91,4.94,4.97,4.86,4.78,1591370
4.91,4.9,4.87,4.95,4.95,4.87,4.9,1614802
4.93,4.67,5.0,5.0,5.0,5.0,4.87,12140
4.66,4.74,4.82,4.82,4.81,4.97,4.54,1620098
4.29,4.07,4.0,4.13,4.03,4.9,4.2,24833
4.32,4.58,4.26,4.15,4.15,4.92,4.37,25879
4.78,4.84,4.73,4.93,4.85,4.92,4.69,28749
4.78,4.84,4.72,4.83,4.93,4.44,4.81,1648786
4.99,4.99,5.0,4.99,4.98,4.92,4.98,37738
4.88,4.93,4.72,4.95,4.94,4.83,4.82,71930
4.88,4.89,4.63,4.94,4.96,4.89,4.87,84042
4.9,4.95,4.93,4.92,4.91,4.76,4.8,1663673
5.0,5.0,4.95,5.0,5.0,5.0,5.0,94450
4.82,4.92,4.87,4.96,4.97,4.68,4.82,1668481
4.81,4.84,4.85,4.96,4.85,4.97,4.8,1759266
4.78,4.8,4.91,4.76,4.62,4.88,4.72,145659
4.78,4.78,4.89,4.79,4.62,4.95,4.65,145690
4.95,4.98,4.93,4.97,4.96,4.92,4.89,189821
4.97,4.98,4.95,4.98,4.99,4.63,4.88,1759389
4.77,4.82,4.82,4.73,4.82,4.95,4.32,1769731
4.9,4.93,4.84,4.97,4.97,4.7,4.85,207218
4.71,4.71,4.79,4.5,4.79,4.93,4.64,1772920
4.94,4.94,4.94,4.97,4.85,5.0,4.79,1773021
4.76,4.92,4.56,4.88,4.64,5.0,4.56,1773025
4.89,4.93,4.93,4.96,4.96,4.48,4.88,1810118
4.91,4.98,4.76,4.98,5.0,4.75,4.84,207351
5.0,5.0,5.0,5.0,5.0,4.75,5.0,220333
4.92,4.96,4.96,5.0,4.96,5.0,4.92,225314
4.8,4.86,4.83,4.93,4.9,4.77,4.78,233933
4.48,4.67,4.33,4.74,4.79,4.86,4.53,1837153
4.84,4.94,4.53,4.94,4.97,4.82,4.47,250354
4.9,5.0,4.9,5.0,5.0,4.82,4.96,258253
4.58,4.71,4.54,4.78,4.82,4.93,4.61,1854000
4.84,4.79,4.79,4.95,4.92,4.87,4.76,264547
4.86,4.86,4.8,4.96,4.96,4.83,4.88,1921670
4.79,4.82,4.68,4.88,4.94,4.8,4.83,289689
5.0,5.0,5.0,5.0,5.0,5.0,3.0,1931880
4.84,4.94,4.62,4.96,5.0,4.72,4.86,290155
4.74,4.72,4.82,4.95,4.97,4.64,4.85,312192
5.0,5.0,5.0,5.0,5.0,5.0,5.0,1939467
4.96,4.96,4.97,4.96,4.97,4.88,4.9,345075
4.69,5.0,4.46,4.85,5.0,4.46,4.62,1944802
4.0,4.0,4.75,4.75,4.75,3.5,4.25,1984545
4.9,4.93,4.88,4.89,4.91,4.93,4.84,350347
4.64,4.76,4.48,4.9,4.74,4.81,4.68,2011301
4.85,4.87,4.73,4.93,4.95,4.76,4.78,372929
4.79,4.79,4.76,4.93,4.94,4.81,4.69,2062638
4.82,4.88,4.75,4.94,4.96,4.96,4.86,2103986
4.52,4.66,4.54,4.81,4.73,4.09,4.57,2139407
4.53,4.58,4.38,4.89,4.87,4.67,4.42,404792
4.95,4.92,4.93,4.96,5.0,4.67,4.89,2189522
4.91,4.91,4.8,4.98,4.95,4.61,4.77,2298310
4.72,4.31,4.83,4.79,4.83,4.93,4.66,450648
4.81,4.87,4.8,4.91,4.91,4.81,4.82,464581
4.47,4.52,4.35,4.83,4.65,4.8,4.49,2305194
4.92,4.95,4.95,4.98,4.97,4.95,4.9,507517
4.53,4.7,4.61,4.75,4.71,4.83,4.6,2305230
4.58,4.65,4.46,4.86,4.87,4.82,4.57,2320027
4.88,4.95,4.93,4.93,4.96,4.84,4.84,542067
4.91,4.9,4.95,4.98,4.98,4.83,4.81,2396340
4.53,4.58,4.3,4.6,4.62,4.7,4.45,584590
4.77,4.86,4.83,4.94,4.97,4.9,4.77,2479175
4.91,4.94,4.88,4.96,4.96,4.95,4.93,634310
4.8,4.75,4.8,4.95,4.87,4.87,4.76,2499596
4.98,4.98,4.99,4.98,4.99,4.95,4.86,640841
4.93,4.95,4.91,4.9,4.93,4.81,4.9,651742
4.92,4.95,4.97,4.95,4.94,4.82,4.91,662034
4.78,4.82,4.75,4.92,4.94,4.4,4.84,2515629
4.41,4.47,4.59,4.72,4.66,4.94,4.28,668262
4.78,4.68,4.55,4.94,4.93,4.39,4.75,2519442
4.87,4.92,4.9,4.98,4.99,4.9,4.9,697634
4.7,4.72,4.65,4.88,4.9,4.89,4.69,726376
4.89,4.91,4.89,4.92,4.96,4.59,4.84,2543231
4.87,4.94,4.86,4.89,4.88,4.8,4.88,739495
